-129.993740       45.954090         1.13400                 9
           1              3     0.45100
           1              4     0.50600
           1              5     0.65600
           1              6     0.68100
           1              1     0.31100
           2              3     1.06100
           2              4     0.94100
           2              5     1.29100
           2              6     1.37600
-129.852020       45.966470         1.01100                 7
           1              3     2.52800
           1              4     2.12300
           1              5     2.11800
           2              3     4.65800
           2              4     3.75300
           2              5     3.92800
           2              6     3.94300
-130.024380       45.949000         0.78700                 9
           1              3     0.41300
           1              4     0.84300
           1              5     1.12300
           1              2     0.47800
           2              3     0.70800
           2              4     1.62800
           2              5     1.91800
           2              6     1.85300
           2              2     0.89800
-130.020710       45.938120         0.73500                12
           1              3     0.59500
           1              4     0.50500
           1              5     0.86000
           1              6     0.85000
           1              2     0.30000
           1              7     0.19000
           2              3     1.13500
           2              4     1.55000
           2              5     1.65500
           2              6     1.64000
           2              1     1.24000
           2              2     0.35000
-130.028180       45.949750         0.91700                14
           1              3     0.48400
           1              4     0.88900
           1              5     1.01400
           1              6     0.99400
           1              1     0.78900
           1              2     0.55400
           1              7     1.08900
           2              3     0.83400
           2              4     1.70900
           2              5     1.87900
           2              6     1.88400
           2              1     1.65900
           2              2     0.97400
           2              7     2.15900
-130.017590       45.938030         1.94600                13
           1              3     0.60900
           1              4     0.98900
           1              5     0.81900
           1              6     0.85900
           1              1     1.34900
           1              2     0.56900
           1              7     1.17400
           2              3     1.42400
           2              4     1.87400
           2              5     1.53900
           2              6     1.61900
           2              1     2.59900
           2              2     1.63900
-129.995910       45.950260         0.65200                 8
           1              3     0.34200
           1              4     0.42200
           1              5     0.68200
           1              6     0.22700
           2              3     0.84200
           2              4     0.69200
           2              5     0.97700
           2              6     0.65700
-130.041530       45.923710         0.99700                11
           1              3     1.07100
           1              4     1.63600
           1              5     1.20600
           1              2     0.99600
           1              7     0.94600
           2              3     1.90600
           2              4     2.15100
           2              5     2.37100
           2              6     2.45600
           2              1     2.84100
           2              2     1.38100
-130.022780       45.947070         0.76000                10
           1              3     0.43800
           1              4     0.81800
           1              5     0.98800
           1              2     0.49800
           2              3     0.80800
           2              4     1.55800
           2              5     1.73300
           2              6     1.86800
           2              1     1.92300
           2              2     0.91800
-129.994170       45.953800         0.91200                10
           1              3     0.40700
           1              4     0.41700
           1              5     0.64200
           1              6     0.73200
           1              7    -0.15300
           2              3     1.06700
           2              4     0.91200
           2              5     1.12200
           2              6     1.32700
           2              2     1.19200
-130.007510       45.939130         1.18900                10
           1              4     0.79200
           1              5     0.77700
           1              1     0.41200
           1              2     1.72700
           2              3     1.01700
           2              4     1.38200
           2              5     1.36200
           2              6     1.30700
           2              1     0.93700
           2              2     2.34700
-130.029480       45.950260         0.78000                14
           1              3     0.56900
           1              4     0.95400
           1              5     1.09400
           1              6     1.06900
           1              1     0.80400
           1              2     0.63900
           1              7     1.28400
           2              3     1.46400
           2              4     1.79400
           2              5     1.96400
           2              6     1.95900
           2              1     1.71900
           2              2     1.22400
           2              7     2.09400
-129.984500       45.953750         1.35600                12
           1              3     0.58300
           1              4     0.41300
           1              5     0.59300
           1              6     0.62300
           1              1     0.76800
           1              2     0.89300
           2              3     1.25300
           2              4     0.89800
           2              5     1.09300
           2              6     1.19300
           2              1     1.58800
