           4   5.00000007E-02
   5.00000007E-02   0.00000000               0
   5.00000007E-02   4.00000000               0
   14.9499998       0.00000000               0
   14.9499998       4.00000000               0
           0  0.150000006    
           0  0.250000000    
           0  0.349999994    
           0  0.450000018    
           0  0.550000012    
           0  0.650000036    
           0  0.750000000    
           0  0.850000024    
           0  0.949999988    
           0   1.05000007    
           0   1.14999998    
           0   1.25000000    
           0   1.35000002    
           0   1.45000005    
           0   1.55000007    
           0   1.64999998    
           0   1.75000000    
           0   1.85000002    
           0   1.95000005    
           0   2.04999995    
           0   2.15000010    
           0   2.25000000    
           0   2.35000014    
           0   2.45000005    
           0   2.54999995    
           7   2.65000010    
   5.00000007E-02   0.00000000               0
   5.00000007E-02   4.00000000               0
   8.44999981       0.00000000               0
   8.44999981       1.67999864               1
   8.44999981       4.00000000               0
   14.9499998       0.00000000               0
   14.9499998       4.00000000               0
          40   2.75000000    
   5.00000007E-02   0.00000000               0
   5.00000007E-02   4.00000000               0
   7.95000029       0.00000000               0
   7.95000029       1.30999899               2
   7.95000029       4.00000000               0
   8.25000000       0.00000000               0
   8.25000000       1.24499905               3
   8.25000000       4.00000000               0
   8.35000038       0.00000000               0
   8.35000038       1.22999907               4
   8.35000038       4.00000000               0
   8.44999981       0.00000000               0
   8.44999981       1.20499909               5
   8.44999981       4.00000000               0
   8.65000057       0.00000000               0
   8.65000057       1.68499863               6
   8.65000057       4.00000000               0
   8.85000038       0.00000000               0
   8.85000038       1.52999878               7
   8.85000038       4.00000000               0
   9.15000057       0.00000000               0
   9.15000057       1.73999858               8
   9.15000057       4.00000000               0
   9.25000000       0.00000000               0
   9.25000000      0.819999397               9
   9.25000000       4.00000000               0
   9.35000038       0.00000000               0
   9.35000038      0.984999239              10
   9.35000038       4.00000000               0
   9.44999981       0.00000000               0
   9.44999981      0.834999382              11
   9.44999981       4.00000000               0
   9.55000019       0.00000000               0
   9.55000019      0.784999430              12
   9.55000019       4.00000000               0
   9.65000057       0.00000000               0
   9.65000057      0.859999359              13
   9.65000057       4.00000000               0
   14.9499998       0.00000000               0
   14.9499998       4.00000000               0
          62   2.85000014    
   5.00000007E-02   0.00000000               0
   5.00000007E-02   4.00000000               0
   7.75000000       0.00000000               0
   7.75000000       1.09499919              14
   7.75000000       4.00000000               0
   7.84999990       0.00000000               0
   7.84999990       1.39499891              15
   7.84999990       4.00000000               0
   7.95000029       0.00000000               0
