           4   5.00000007E-02
   5.00000007E-02   0.00000000               0
   5.00000007E-02   4.00000000               0
   14.9499998       0.00000000               0
   14.9499998       4.00000000               0
           0  0.150000006    
           0  0.250000000    
           0  0.349999994    
           0  0.450000018    
           0  0.550000012    
           0  0.650000036    
           0  0.750000000    
           0  0.850000024    
           0  0.949999988    
           0   1.05000007    
           0   1.14999998    
           0   1.25000000    
           0   1.35000002    
           0   1.45000005    
           0   1.55000007    
           0   1.64999998    
           0   1.75000000    
           0   1.85000002    
           0   1.95000005    
           0   2.04999995    
           0   2.15000010    
           0   2.25000000    
           7   2.35000014    
   5.00000007E-02   0.00000000               0
   5.00000007E-02   4.00000000               0
   8.55000019       0.00000000               0
   8.55000019       1.62499869               1
   8.55000019       4.00000000               0
   14.9499998       0.00000000               0
   14.9499998       4.00000000               0
           0   2.45000005    
           7   2.54999995    
   5.00000007E-02   0.00000000               0
   5.00000007E-02   4.00000000               0
   8.44999981       0.00000000               0
   8.44999981       1.28999901               2
   8.44999981       4.00000000               0
   14.9499998       0.00000000               0
   14.9499998       4.00000000               0
          13   2.65000010    
   5.00000007E-02   0.00000000               0
   5.00000007E-02   4.00000000               0
   8.35000038       0.00000000               0
   8.35000038       1.29999900               3
   8.35000038       4.00000000               0
   8.44999981       0.00000000               0
   8.44999981       1.28499901               4
   8.44999981       4.00000000               0
   8.65000057       0.00000000               0
   8.65000057       1.44499886               5
   8.65000057       4.00000000               0
   14.9499998       0.00000000               0
   14.9499998       4.00000000               0
          34   2.75000000    
   5.00000007E-02   0.00000000               0
   5.00000007E-02   4.00000000               0
   7.95000029       0.00000000               0
   7.95000029       1.29499900               6
   7.95000029       4.00000000               0
   8.35000038       0.00000000               0
   8.35000038       1.29499900               7
   8.35000038       4.00000000               0
   8.44999981       0.00000000               0
   8.44999981       1.24999905               8
   8.44999981       4.00000000               0
   8.55000019       0.00000000               0
   8.55000019       1.18999910               9
   8.55000019       4.00000000               0
   8.65000057       0.00000000               0
   8.65000057       1.42499888              10
   8.65000057       4.00000000               0
   9.05000019       0.00000000               0
   9.05000019       1.30999899              11
   9.05000019       4.00000000               0
   9.15000057       0.00000000               0
   9.15000057       1.36999893              12
   9.15000057       4.00000000               0
   9.25000000       0.00000000               0
   9.25000000       1.08499920              13
   9.25000000       4.00000000               0
   9.35000038       0.00000000               0
   9.35000038      0.759999454              14
   9.35000038       4.00000000               0
